Rank,Name,Guild,Faction,DPS,Size,Date,Duration,Head,Neck,Shoulder,Chest,Waist,Legs,Feet,Wrist,Hands,Ring1,Ring2,Trinket1,Trinket2,Back,Weapon1,Weapon2,Ranged,Raid,Phase,Class,Specialisation
23,치명적인사정거리,서리1공,Alliance,"1,113.10",40,Jul-07,50:09:00,Lieutenant Commander's Dreadweave Cowl (23310),Choker of the Fire Lord (18814),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Nemesis Gloves (16928),Ring of Spell Power (19147),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Nat Pagle's Broken Reel (19947),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Therazane's Touch (19315),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
24,Squeakx,SQUAWK,Horde,"1,113.10",40,Jun-12,40:25:00,The Hexxer's Cover (19886),Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Band of Servitude (22721),Nat Pagle's Broken Reel (19947),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Staff of Dominance (18842),N/A,Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
25,Pegg,The Pond pug,Horde,"1,100.90",40,Jun-14,42:41:00,Nemesis Skullcap (16929),Jeklik's Opaline Talisman (19923),Warlord's Dreadweave Mantle (17590),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Ebony Flame Gloves (19407),Zanzil's Seal (19893),Zanzil's Band (19905),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of the Hakkari Worshippers (22711),High Warlord's Spellblade (23466),Tome of Shadow Force (19309),Glowstar Rod (15281),Blackwing Lair,4,Warlock,Destruction
26,Critless,whos friend r u,Alliance,"1,089.10",40,Jun-11,16:55,Lieutenant Commander's Dreadweave Cowl (23310),Choker of the Fire Lord (18814),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Nemesis Belt (16933),Fel-Infused Leggings (19133),Bloodvine Boots (19684),Nemesis Bracers (16934),Ebony Flame Gloves (19407),Band of Dark Dominion (19434),Band of Forced Concentration (19403),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Torch of Holy Flame (7344),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
27,Royaldotty,N/A,Unknown,"1,088.50",40,Jun-28,39:21:00,Champion's Dreadweave Cowl (23255),Soul Corrupter's Necklace (19876),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),Councillor's Cuffs (10096),Bloodtinged Gloves (19929),Zanzil's Band (19905),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Royal Seal of Eldre'Thalas (18467),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
28,Clownkore,SQUAWK,Horde,"1,087.60",41,Jun-26,41:34:00,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Elemental Focus Band (20682),Band of Servitude (22721),Zandalarian Hero Charm (19950),Nat Pagle's Broken Reel (19947),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Tome of Shadow Force (19309),Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
29,Dogbreak,Juice,Alliance,"1,086.70",40,May-27,21:25,Lieutenant Commander's Dreadweave Cowl (23310),Choker of the Fire Lord (18814),Lieutenant Commander's Dreadweave Spaulders (23311),Robe of Volatile Power (19145),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Ebony Flame Gloves (19407),Zanzil's Seal (19893),Zanzil's Band (19905),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
30,Fwals,outdoor boys,Alliance,"1,083.80",38,Jun-22,25:34:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Knight-Lieutenant's Dreadweave Handwraps (23282),Ring of Spell Power (19147),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of the Brood Lord (19378),Grand Marshal's Mageblade (23451),Tome of Shadow Force (19309),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
31,Råhj,Mirages,Alliance,"1,081.60",39,May-18,37:10:00,Lieutenant Commander's Dreadweave Cowl (23310),Choker of the Fire Lord (18814),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Elegant Bracers (10213),Ebony Flame Gloves (19407),Maiden's Circle (13001),Zanzil's Seal (19893),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),High Councillor's Cloak (10138),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
32,Enuma,The Pond pug,Horde,"1,081.10",40,Jun-29,43:59:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Orb of the Darkmoon (19426),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Zanzil's Band (19905),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
33,Hoisty,wiggle 2,Horde,"1,076.10",40,Jun-23,49:57:00,Champion's Dreadweave Cowl (23255),Orb of the Darkmoon (19426),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Elegant Bracers (10213),Ebony Flame Gloves (19407),Band of Dark Dominion (19434),Band of Forced Concentration (19403),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Azuresong Mageblade (17103),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
34,Chopzyh,wiggle 2,Horde,"1,074.30",40,Jun-23,49:57:00,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Band of Dark Dominion (19434),Band of Forced Concentration (19403),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Azuresong Mageblade (17103),Tome of Shadow Force (19309),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
35,Famedemon,N/A,Unknown,"1,072.50",40,Jun-18,53:36:00,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Robe of Volatile Power (19145),Nemesis Belt (16933),Nemesis Leggings (16930),Bloodvine Boots (19684),Nemesis Bracers (16934),Blood Guard's Dreadweave Handwraps (22865),Band of Servitude (22721),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Azuresong Mageblade (17103),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
36,Eris,Drama,Alliance,"1,068.10",40,Jun-19,28:08:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Band of Dark Dominion (19434),Ring of Spell Power (19147),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
37,Cokeey,Smooth,Horde,"1,067.20",40,May-12,53:56:00,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Nemesis Robes (16931),Nemesis Belt (16933),Nemesis Leggings (16930),Nemesis Boots (16927),Bracers of Arcane Accuracy (19374),Felcloth Gloves (18407),Eye of Orgrimmar (12545),Maiden's Circle (13001),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of the Hakkari Worshippers (22711),High Warlord's Spellblade (23466),Tome of Shadow Force (19309),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
38,Nyxxy,wiggle 2,Horde,"1,062.60",40,Jun-23,49:57:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Celestial Bindings (14311),Felcloth Gloves (18407),Band of Dark Dominion (19434),Eye of Orgrimmar (12545),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of the Brood Lord (19378),Azuresong Mageblade (17103),Spirit of Aquementas (11904),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
39,Sllin,Risen,Horde,"1,059.30",40,Jun-27,41:21:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Band of Dark Dominion (19434),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Jin'do's Bag of Whammies (19891),Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
40,Dotdotbooms,SQUAWK,Horde,"1,058.90",41,Jun-26,41:34:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Band of Dark Dominion (19434),Band of Forced Concentration (19403),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Claw of Chromaggus (19347),Tome of Shadow Force (19309),Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
41,Donotsmile,Juice,Alliance,"1,048.50",40,May-27,21:25,Lieutenant Commander's Dreadweave Cowl (23310),Choker of the Fire Lord (18814),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Nemesis Gloves (16928),Band of Servitude (22721),Band of Dark Dominion (19434),Neltharion's Tear (19379),Talisman of Ephemeral Power (18820),Cloak of the Hakkari Worshippers (22711),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
42,Dolphincat,N/A,Unknown,"1,047.50",40,Jun-25,49:37:00,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Nemesis Gloves (16928),Band of Forced Concentration (19403),Band of Servitude (22721),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of the Brood Lord (19378),High Warlord's Spellblade (23466),Tome of Shadow Force (19309),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
43,뉴욕흑마,서리1공,Alliance,"1,037.20",40,May-19,01:00:39,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Nemesis Robes (16931),Nemesis Belt (16933),Fel-Infused Leggings (19133),Nemesis Boots (16927),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Ring of Spell Power (19147),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Azuresong Mageblade (17103),Master Dragonslayer's Orb (19366),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
44,Lifepast,Pug Pals,Alliance,"1,035.50",40,Jun-22,41:04:00,Lieutenant Commander's Dreadweave Cowl (23310),Jeklik's Opaline Talisman (19923),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Ring of Spell Power (19147),Band of Dark Dominion (19434),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Scepter of Interminable Focus (22329),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
45,烟绝,玉虚宫,Alliance,"1,034.20",40,Jul-08,01:13:05,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Band of Dark Dominion (19434),Rune Band of Wizardry (22339),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
46,흙흑웁니다,서리2공,Alliance,"1,033.20",40,Jul-01,50:54:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Nemesis Gloves (16928),Band of Forced Concentration (19403),Songstone of Ironforge (12543),Neltharion's Tear (19379),Talisman of Ephemeral Power (18820),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
47,Liamx,BOKPUG,Alliance,"1,030.20",40,Jun-10,17:59,Lieutenant Commander's Dreadweave Cowl (23310),Choker of Enlightenment (17109),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Resplendent Bracelets (14320),Ebony Flame Gloves (19407),Band of Dark Dominion (19434),Ring of Spell Power (19147),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of the Hakkari Worshippers (22711),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Dragon Finger (15282),Blackwing Lair,4,Warlock,Destruction
48,Mortis,Rote Rakete,Alliance,"1,030.00",38,Jun-24,24:57:00,Lieutenant Commander's Dreadweave Cowl (23310),Choker of the Fire Lord (18814),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Ring of Spell Power (19147),Band of Dark Dominion (19434),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of the Hakkari Worshippers (22711),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
49,百万美元宝贝,玉虚宫,Alliance,"1,027.10",40,Jul-08,01:13:05,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Ring of Spell Power (19147),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
50,Ceeke,Exploding Labrats,Alliance,"1,026.40",40,May-19,34:17:00,Lieutenant Commander's Dreadweave Cowl (23310),Choker of the Fire Lord (18814),Lieutenant Commander's Dreadweave Spaulders (23311),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Felcloth Gloves (18407),Rune Band of Wizardry (22339),Band of Dark Dominion (19434),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of the Brood Lord (19378),Grand Marshal's Mageblade (23451),Tome of Shadow Force (19309),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
51,Exqtwo,iddqd Pug,Alliance,"1,025.60",40,May-18,33:17:00,Nemesis Skullcap (16929),Kezan's Unstoppable Taint (19605),Nemesis Spaulders (16932),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Zandalar Demoniac's Wraps (19848),Nemesis Gloves (16928),Rune Band of Wizardry (22339),Band of Dark Dominion (19434),Eye of the Beast (13968),Zandalarian Hero Charm (19950),Cloak of the Hakkari Worshippers (22711),Shadow Wing Focus Staff (19355),N/A,Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
52,Unclecreepy,Thermite,Horde,"1,016.30",40,May-07,01:00:51,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Sash of Whispered Secrets (18809),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),General's Dreadweave Gloves (17588),Eye of Orgrimmar (12545),Band of Forced Concentration (19403),Briarwood Reed (12930),Eye of the Beast (13968),Sapphiron Drape (17078),High Warlord's Spellblade (23466),Tome of Shadow Force (19309),Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
53,파워야메로,Balance 2,Alliance,"1,016.30",40,May-24,55:35:00,Field Marshal's Coronal (17578),Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Ring of Spell Power (19147),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Master's Cloak (10249),Grand Marshal's Mageblade (23451),Scepter of Interminable Focus (22329),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
54,Sensual,N/A,Unknown,"1,014.90",40,Jun-10,36:02:00,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Band of Dark Dominion (19434),Rune Band of Wizardry (22339),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
55,Pace,Drama,Alliance,"1,014.70",40,Jun-26,32:43:00,Lieutenant Commander's Dreadweave Cowl (23310),Kezan's Unstoppable Taint (19605),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Mana Igniting Cord (19136),Fel-Infused Leggings (19133),Bloodvine Boots (19684),Zandalar Demoniac's Wraps (19848),Knight-Lieutenant's Dreadweave Handwraps (23282),Zanzil's Seal (19893),Zanzil's Band (19905),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
56,Kfcmanager,outdoor boys,Alliance,"1,013.80",38,Jun-29,24:40:00,Nemesis Skullcap (16929),Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Zanzil's Band (19905),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Tome of Shadow Force (19309),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
57,Prilla,SQUAWK,Horde,"1,013.10",40,May-28,36:25:00,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Band of Forced Concentration (19403),Band of Dark Dominion (19434),Nat Pagle's Broken Reel (19947),Zandalarian Hero Charm (19950),Cloak of the Hakkari Worshippers (22711),High Warlord's Spellblade (23466),Tome of Shadow Force (19309),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
58,김흑,Balance 3,Alliance,"1,010.50",40,Jun-21,01:02:15,Nemesis Skullcap (16929),Kezan's Unstoppable Taint (19605),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Zandalar Demoniac's Wraps (19848),Bloodtinged Gloves (19929),Zanzil's Band (19905),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of Consumption (19857),Shadow Wing Focus Staff (19355),N/A,Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
59,Zogarath,atrocious,Horde,"1,009.60",40,Jul-02,24:36:00,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nemesis Bracers (16934),Nemesis Gloves (16928),Zanzil's Seal (19893),Band of Dark Dominion (19434),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Claw of Chromaggus (19347),Jin'do's Bag of Whammies (19891),Glowstar Rod (15281),Blackwing Lair,4,Warlock,Destruction
60,Beelzebul,Balance,Alliance,"1,009.20",40,Jun-27,58:27:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Band of Forced Concentration (19403),Band of Dark Dominion (19434),Eye of the Beast (13968),Neltharion's Tear (19379),Cloak of Consumption (19857),Azuresong Mageblade (17103),Scepter of Interminable Focus (22329),Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
61,세연,Soeasy,Alliance,"1,006.10",40,Jun-22,54:56:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Zanzil's Seal (19893),Zanzil's Band (19905),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
62,Unchasted,Neverland,Alliance,"1,005.70",40,Jun-30,32:57:00,The Hexxer's Cover (19886),Choker of the Fire Lord (18814),Nemesis Spaulders (16932),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Nemesis Gloves (16928),Zanzil's Seal (19893),Zanzil's Band (19905),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,Touch of Chaos (19861),Blackwing Lair,4,Warlock,Destruction
63,Valkdark,The Pond pug,Horde,"1,003.20",40,May-19,52:32:00,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Elegant Bracers (10213),Ebony Flame Gloves (19407),Band of Dark Dominion (19434),Band of Forced Concentration (19403),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Tome of Shadow Force (19309),Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
64,Bigoldcrits,Entitled,Alliance,"1,002.60",40,May-19,42:13:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Zanzil's Seal (19893),Ring of Spell Power (19147),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of the Hakkari Worshippers (22711),Grand Marshal's Mageblade (23451),Tome of Shadow Force (19309),Bonecreeper Stylus (13938),Blackwing Lair,4,Warlock,Destruction
65,Very,N/A,Unknown,"1,000.10",40,Jun-29,30:29:00,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Ebony Flame Gloves (19407),Zanzil's Band (19905),Zanzil's Seal (19893),Talisman of Ephemeral Power (18820),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Claw of Chromaggus (19347),Jin'do's Bag of Whammies (19891),Lethtendris' Wand (18301),Blackwing Lair,4,Warlock,Destruction
66,Wacky,Prevail,Horde,998.2,40,Jun-19,22:28,Champion's Dreadweave Cowl (23255),Choker of the Fire Lord (18814),Champion's Dreadweave Spaulders (23256),Bloodvine Vest (19682),Nemesis Belt (16933),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Felcloth Gloves (18407),Band of Dark Dominion (19434),Band of Forced Concentration (19403),Neltharion's Tear (19379),Talisman of Ephemeral Power (18820),Cloak of Consumption (19857),Claw of Chromaggus (19347),Jin'do's Bag of Whammies (19891),Skul's Ghastly Touch (13396),Blackwing Lair,4,Warlock,Destruction
